id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Blinding Lights,The Weeknd,synthwave,moody,0.80,171,0.33,0.51,0.00
2,Shape of You,Ed Sheeran,pop,happy,0.65,96,0.93,0.83,0.08
3,Lose Yourself,Eminem,hip-hop,intense,0.63,86,0.39,0.69,0.12
4,Bohemian Rhapsody,Queen,rock,moody,0.40,72,0.41,0.39,0.09
5,One More Time,Daft Punk,edm,euphoric,0.96,123,0.82,0.92,0.01
6,Clair de Lune,Debussy,classical,peaceful,0.08,91,0.21,0.22,0.99
7,Smells Like Teen Spirit,Nirvana,rock,intense,0.90,117,0.57,0.57,0.00
8,Rolling in the Deep,Adele,pop,intense,0.84,105,0.74,0.73,0.10
9,September,Earth Wind & Fire,r&b,happy,0.82,126,0.97,0.84,0.01
10,Levitating,Dua Lipa,pop,euphoric,0.82,103,0.87,0.70,0.01
11,Old Town Road,Lil Nas X,country,confident,0.67,136,0.76,0.94,0.09
12,Redbone,Childish Gambino,r&b,romantic,0.38,99,0.56,0.73,0.21
13,Mr. Brightside,The Killers,indie pop,moody,0.90,148,0.53,0.47,0.00
14,Watermelon Sugar,Harry Styles,pop,happy,0.80,95,0.87,0.55,0.13
15,Somebody That I Used to Know,Gotye,indie pop,nostalgic,0.59,129,0.50,0.59,0.18
16,Africa,Toto,pop,nostalgic,0.46,92,0.72,0.49,0.09
17,Dreams,Fleetwood Mac,rock,relaxed,0.57,120,0.72,0.71,0.04
18,Hotline Bling,Drake,r&b,romantic,0.37,135,0.86,0.84,0.12
19,Breathe,Pink Floyd,ambient,peaceful,0.24,60,0.56,0.44,0.36
20,Creep,Radiohead,indie pop,melancholic,0.49,93,0.44,0.50,0.09
21,Lights (Single Version),Ellie Goulding,pop,happy,0.75,115,0.75,0.75,0.2
22,Choosin' Texas,Ella Langley,country,nostalgic,0.55,96,0.65,0.6,0.7
23,Man I Need,Olivia Dean,pop,happy,0.75,115,0.75,0.75,0.2
24,I Just Might,Bruno Mars,pop,happy,0.75,115,0.75,0.75,0.2
25,Be Her,Ella Langley,country,nostalgic,0.55,96,0.65,0.6,0.7
26,Ordinary,Alex Warren,pop,happy,0.75,115,0.75,0.75,0.2
27,So Easy (To Fall In Love),Olivia Dean,pop,happy,0.75,115,0.75,0.75,0.2
28,Stateside,PinkPantheress,pop,happy,0.75,115,0.75,0.75,0.2
29,Folded,Kehlani,r&b,romantic,0.6,85,0.75,0.7,0.4
30,Swim,BTS,pop,happy,0.75,115,0.75,0.75,0.2
31,The Fate Of Ophelia,Taylor Swift,pop,happy,0.75,115,0.75,0.75,0.2
32,Risk It All,Bruno Mars,pop,happy,0.75,115,0.75,0.75,0.2
33,Yukon,Justin Bieber,pop,happy,0.75,115,0.75,0.75,0.2
34,Where Is My Husband!,RAYE,pop,happy,0.75,115,0.75,0.75,0.2
35,Dracula,Tame Impala,indie pop,moody,0.65,118,0.62,0.68,0.35
36,Sleepless In A Hotel Room,Luke Combs,country,nostalgic,0.55,96,0.65,0.6,0.7
37,Opalite,Taylor Swift,pop,happy,0.75,115,0.75,0.75,0.2
38,Daisies,Justin Bieber,pop,happy,0.75,115,0.75,0.75,0.2
